,0
0,1
1,1
2,0
3,0
4,1
5,0
6,1
7,1
8,1
9,1
10,0
11,0
12,0
13,0
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,0
25,1
26,1
27,1
28,0
29,0
30,0
31,1
32,0
33,0
34,0
35,1
36,1
37,0
38,0
39,0
40,0
41,1
42,1
43,0
44,0
45,1
46,0
47,1
48,1
49,0
50,0
51,1
52,0
53,0
54,0
55,0
56,0
57,0
58,1
59,1
60,1
61,1
62,0
63,1
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,1
72,0
73,0
74,0
75,0
76,1
77,1
78,1
79,0
80,0
81,1
82,1
83,0
84,1
85,1
86,0
87,0
88,0
89,0
90,0
91,1
92,0
93,0
94,1
95,0
96,0
97,0
98,0
99,0
100,1
101,0
102,1
103,1
104,0
105,1
106,1
107,0
108,0
109,1
110,0
111,1
112,1
113,1
114,0
115,0
116,1
117,0
118,0
119,1
120,1
121,1
122,0
123,1
124,0
125,0
126,1
127,1
128,0
129,1
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,1
138,0
139,0
140,0
141,1
142,0
143,1
144,1
145,0
146,0
147,0
148,0
149,0
150,0
151,1
152,0
153,0
154,1
155,1
156,1
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,1
165,1
166,0
167,1
168,1
169,0
170,1
171,0
172,1
173,0
174,0
175,0
176,0
177,1
178,0
179,0
180,1
181,0
182,1
183,1
184,1
185,0
186,1
187,0
188,0
189,1
190,1
191,0
192,0
193,1
194,0
195,1
196,1
197,0
198,0
199,1
200,0
201,1
202,1
203,0
204,0
205,1
206,0
207,0
208,1
209,0
210,1
211,1
212,0
213,1
214,1
215,0
216,0
217,1
218,0
219,0
220,1
221,1
222,0
223,0
224,1
225,0
226,0
227,1
228,0
229,0
230,0
231,0
232,0
233,0
234,1
235,0
236,0
237,0
238,1
239,1
240,0
241,1
242,1
243,1
244,1
245,0
246,1
247,0
248,0
249,1
250,1
251,1
252,0
253,1
254,1
255,0
256,0
257,0
258,1
259,1
260,0
261,1
262,1
263,0
264,1
265,1
266,0
267,0
268,0
269,1
270,0
271,1
272,1
273,1
274,1
275,0
276,0
277,1
278,1
279,0
280,0
281,0
282,0
283,0
284,1
285,1
286,0
287,1
288,0
289,0
290,0
291,1
292,1
293,0
294,0
295,1
296,0
297,1
298,0
299,1
300,1
301,0
302,0
303,0
304,1
305,1
306,0
307,0
308,1
309,1
310,0
311,1
312,1
313,0
314,1
315,1
316,0
317,0
318,1
319,0
320,1
321,0
322,0
323,0
324,1
325,0
326,0
327,0
328,0
329,1
330,0
331,1
332,1
333,0
334,0
335,0
336,1
337,1
338,1
339,1
340,1
341,0
342,1
343,0
344,1
345,1
346,0
347,1
348,0
349,0
350,0
351,0
352,1
353,0
354,0
355,0
356,1
357,0
358,0
359,0
360,0
361,1
362,1
363,1
364,0
365,1
366,0
367,0
368,1
369,0
370,1
371,1
372,0
373,0
374,0
375,1
376,1
377,1
378,0
379,0
380,0
381,0
382,1
383,0
384,0
385,0
386,1
387,1
388,1
389,1
390,0
391,0
392,1
393,0
394,0
395,1
396,1
397,1
398,1
399,0
400,0
401,0
402,1
403,1
404,0
405,1
406,0
407,0
408,1
409,0
410,1
411,0
412,1
413,1
414,0
415,1
416,1
417,0
418,0
419,0
420,1
421,1
422,1
423,1
424,1
425,0
426,1
427,1
428,1
429,1
430,1
431,0
432,1
433,1
434,0
435,1
436,0
437,1
438,0
439,1
440,0
441,0
442,1
443,0
444,0
445,0
446,0
447,1
448,0
449,1
450,1
451,0
452,1
453,1
454,1
455,1
456,0
457,0
458,1
459,0
460,1
461,1
462,1
463,0
464,0
465,1
466,1
467,1
468,1
469,1
470,0
471,1
472,1
473,1
474,1
475,0
476,0
477,0
478,0
479,1
480,0
481,1
482,0
483,0
484,0
485,1
486,1
487,1
488,1
489,1
490,1
491,0
492,0
493,0
494,1
495,1
496,0
497,1
498,0
499,0
500,1
501,1
502,0
503,0
504,0
505,1
506,1
507,1
508,0
509,1
510,0
511,1
512,1
513,1
514,0
515,1
516,0
517,0
518,1
519,1
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,0
530,0
531,0
532,0
533,0
534,0
535,0
536,0
537,1
538,0
539,1
540,1
541,0
542,0
543,0
544,1
545,0
546,0
547,0
548,0
549,0
550,0
551,0
552,1
553,1
554,0
555,0
556,0
557,1
558,0
559,0
560,1
561,1
562,1
563,0
564,0
565,0
566,1
567,1
568,1
569,1
570,1
571,1
572,1
573,0
574,1
575,0
576,1
577,1
578,0
579,1
580,1
581,0
582,0
583,0
584,0
585,1
586,1
587,1
588,0
589,1
590,0
591,0
592,0
593,1
594,1
595,0
596,0
597,1
598,0
599,1
600,0
601,1
602,1
603,1
604,0
605,1
606,1
607,1
608,0
609,0
610,1
611,1
612,0
613,1
614,1
615,1
616,1
617,0
618,0
619,0
620,0
621,1
622,1
623,1
624,0
625,0
626,0
627,1
628,0
629,1
630,1
631,0
632,1
633,1
634,1
635,1
636,1
637,0
638,0
639,0
640,0
641,0
642,0
643,1
644,1
645,1
646,0
647,1
648,0
649,1
650,1
651,0
652,1
653,1
654,1
655,0
656,0
657,0
658,1
659,0
660,1
661,0
662,0
663,0
664,1
665,1
666,1
667,0
668,1
669,1
670,0
671,0
672,0
673,1
674,1
675,0
676,1
677,0
678,1
679,1
680,0
681,0
682,1
683,1
684,1
685,0
686,1
687,1
688,0
689,1
690,0
691,0
692,1
693,0
694,1
695,0
696,0
697,1
698,1
699,0
700,0
701,0
702,0
703,1
704,0
705,0
706,0
707,0
708,1
709,1
710,0
711,0
712,0
713,1
714,1
715,1
716,1
717,1
718,1
719,1
720,0
721,0
722,1
723,1
724,1
725,1
726,0
727,0
728,0
729,0
730,0
731,0
732,0
733,0
734,1
735,0
736,1
737,0
738,0
739,1
740,0
741,1
742,1
743,0
744,0
745,0
746,1
747,1
748,1
749,0
750,1
751,0
752,1
753,0
754,0
755,0
756,0
757,0
758,1
759,1
760,1
761,0
762,0
763,0
764,0
765,1
766,1
767,0
768,0
769,1
770,1
771,0
772,1
773,0
774,1
775,0
776,1
777,0
778,1
779,0
780,1
781,0
782,0
783,0
784,1
785,0
786,0
787,0
788,0
789,1
790,0
791,0
792,0
793,1
794,0
795,0
796,1
797,1
798,0
799,0
800,0
801,1
802,1
803,1
804,1
805,1
806,0
807,0
808,0
809,1
810,0
811,0
812,0
